path	upstream_version	sha256	license_notice	copyright_notice	destination	modification
src/auth/AuthPrompt.cpp	6.7.5-1.fc44	6a53a8678939c228d81495ca0b6f1c3f1578435ee4b232765c699986ec2e2d58	LGPL-2.1-or-later	2013 Martin Bříza <mbriza@redhat.com>	daemon build or retained corresponding input	unchanged
src/auth/AuthPrompt.h	6.7.5-1.fc44	54ff7136bd42cfe7c31d086035570ccae74f9c80c47d81f2053825e9deb4cd37	LGPL-2.1-or-later	2013 Martin Bříza <mbriza@redhat.com>	daemon build or retained corresponding input	unchanged
src/auth/AuthRequest.cpp	6.7.5-1.fc44	42218f0a3d5e4e92e5a40b40921e865292292cb3929ec03ff87df9b02b14fa91	LGPL-2.1-or-later	2013 Martin Bříza <mbriza@redhat.com>	daemon build or retained corresponding input	unchanged
src/auth/AuthRequest.h	6.7.5-1.fc44	ad2e8c27dd118f7b7753e5015f7b83679b330e01455ec4247bf636dc94b6659e	LGPL-2.1-or-later	2013 Martin Bříza <mbriza@redhat.com>	daemon build or retained corresponding input	unchanged
src/common/Constants.h.in	6.7.5-1.fc44	cb37625da4fdad3c28621dabfc252b9c943c95ba9a0176e5807945d9e172ec04	GPL-2.0-or-later	2013 Abdurrahman AVCI <abdurrahmanavci@gmail.com>	daemon build or retained corresponding input	unchanged
src/common/MainConfigLoader.cpp	6.7.5-1.fc44	afd1ed5b262e4d9b05dc373dd5fef65828eb6cdc37110b808b9f8c0f5c5a70aa	GPL-2.0-or-later	2026 David Edmundson <davidedmundson@kde.org>	daemon build or retained corresponding input	unchanged
src/common/MainConfigLoader.h	6.7.5-1.fc44	bd8be5087caa071152263b809e3dc3f9dcc025e3e51ec64c03044e68040fbe6b	GPL-2.0-or-later	2026 David Edmundson <davidedmundson@kde.org>	daemon build or retained corresponding input	unchanged
src/common/MessageHandler.h	6.7.5-1.fc44	3034a98aa5758cf321f7267eeae56459cefc4c2b9cde6cb475bac2ce3cf9af15	GPL-2.0-or-later	2014 Pier Luigi Fiorini <pierluigi.fiorini@gmail.com>; 2013 Abdurrahman AVCI <abdurrahmanavci@gmail.com>	daemon build or retained corresponding input	unchanged
src/common/Messages.h	6.7.5-1.fc44	b41b810f2baee8e92979dfe06817db3a308bf1707bac103bebf011d76ca86730	GPL-2.0-or-later	2013 Abdurrahman AVCI <abdurrahmanavci@gmail.com>	daemon build or retained corresponding input	unchanged
src/common/SafeDataStream.cpp	6.7.5-1.fc44	7d7c6ddecd2e9303d9286d636a2646505c1268782435ec4e31f8000f973130c0	GPL-2.0-or-later	2014 Martin Bříza <mbriza@redhat.com>	daemon build or retained corresponding input	unchanged
src/common/SafeDataStream.h	6.7.5-1.fc44	7a9ba50454e877536f70ceff12bb2202095331f8f10d66251b3a68a111a4b3fb	GPL-2.0-or-later	2014 Martin Bříza <mbriza@redhat.com>	daemon build or retained corresponding input	unchanged
src/common/Session.cpp	6.7.5-1.fc44	c1a852a433a056c22b6eafef398ee7314aa0dbac452c735da4341fef589a3db3	GPL-2.0-or-later	2025 David Edmundson <davidedmundson@kde.org>	daemon build or retained corresponding input	unchanged
src/common/Session.h	6.7.5-1.fc44	2c4af462c498dd43426bd5c2d691efd295612b3f572d9cc59607fa0d018af49c	GPL-2.0-or-later	2015 Pier Luigi Fiorini <pierluigi.fiorini@gmail.com>	daemon build or retained corresponding input	unchanged
src/common/SocketWriter.cpp	6.7.5-1.fc44	c8071641a59efde013bb10bb29bf60c4447a54249a4643069229f449374f917a	GPL-2.0-or-later	2015 Pier Luigi Fiorini <pierluigi.fiorini@gmail.com>; 2013 Abdurrahman AVCI <abdurrahmanavci@gmail.com>	daemon build or retained corresponding input	unchanged
src/common/SocketWriter.h	6.7.5-1.fc44	36f4be4d0cf4177245cafe1fc4fdc66885ca346f3aee3d57011549f2848a1343	GPL-2.0-or-later	2015 Pier Luigi Fiorini <pierluigi.fiorini@gmail.com>; 2013 Abdurrahman AVCI <abdurrahmanavci@gmail.com>	daemon build or retained corresponding input	unchanged
src/common/VirtualTerminal.cpp	6.7.5-1.fc44	f2b2d97a18698b69ac13621e1ce25a5d6064de288d82ec1e6a73a5fba6a7e75f	GPL-2.0-or-later	2015 Pier Luigi Fiorini <pierluigi.fiorini@gmail.com>	daemon build or retained corresponding input	Fedora 170.patch, unchanged locally
src/common/VirtualTerminal.h	6.7.5-1.fc44	cad3c077d6b39492c6cd3d9ee09a9715fa5d2c53b6e62df9030e581c64563273	GPL-2.0-or-later	2015 Pier Luigi Fiorini <pierluigi.fiorini@gmail.com>	daemon build or retained corresponding input	unchanged
src/common/mainconfig.kcfg	6.7.5-1.fc44	5d11e503736bb37ee5e9bf7cf7aa811b851af320d4a7092150f2d708289d4558	NOASSERTION (retained upstream/package input)	See retained upstream file	daemon build or retained corresponding input	unchanged
src/common/mainconfig.kcfgc	6.7.5-1.fc44	e3d47b19a2a14313c7cc51d48f61cf80bf7f2945557b06fd374e925d3d70e04b	CC0-1.0	none	daemon build or retained corresponding input	unchanged
src/daemon/DaemonApp.cpp	6.7.5-1.fc44	d50f0f5b817906221a8eb9c198782344686f84a1234c4e28c9ae7cb424239cb8	GPL-2.0-or-later	2013 Abdurrahman AVCI <abdurrahmanavci@gmail.com>	daemon build or retained corresponding input	unchanged
src/daemon/DaemonApp.h	6.7.5-1.fc44	fd098f645a314ec1d8392f083cc04c4928e7709a6c53cdb82f35f91696eacb28	GPL-2.0-or-later	2013 Abdurrahman AVCI <abdurrahmanavci@gmail.com>	daemon build or retained corresponding input	unchanged
src/daemon/Display.cpp	6.7.5-1.fc44	3601461118a2301e98da5d3cb991b4f7ba54aaa8f615f9c62bd42cebad1655fe	GPL-2.0-or-later	2014-2015 Pier Luigi Fiorini <pierluigi.fiorini@gmail.com>; 2014 Martin Bříza <mbriza@redhat.com>; 2013 Abdurrahman AVCI <abdurrahmanavci@gmail.com>	daemon build or retained corresponding input	session-vt.patch
src/daemon/Display.h	6.7.5-1.fc44	29d1c4b1b31fdfcba6099ec3f500623706dde107e34c93b095055e07b3364b79	GPL-2.0-or-later	2014-2015 Pier Luigi Fiorini <pierluigi.fiorini@gmail.com>; 2014 Martin Bříza <mbriza@redhat.com>; 2013 Abdurrahman AVCI <abdurrahmanavci@gmail.com>	daemon build or retained corresponding input	session-vt.patch
src/daemon/DisplayManager.cpp	6.7.5-1.fc44	79dabe187eedf41c93d0428b716ceea0536e5f92c077ff183c360a5c0e477dfb	GPL-2.0-or-later	2013 Abdurrahman AVCI <abdurrahmanavci@gmail.com>	daemon build or retained corresponding input	unchanged
src/daemon/DisplayManager.h	6.7.5-1.fc44	2482613b100431ad51ce5895c763522f354d5cb5907881b9e793b1abb14b7f9f	GPL-2.0-or-later	2013 Abdurrahman AVCI <abdurrahmanavci@gmail.com>	daemon build or retained corresponding input	unchanged
src/daemon/Greeter.cpp	6.7.5-1.fc44	fedd83ddcf39c0d2447042155bcca06c1e80552299e7a3788c457f1aa8cfa996	GPL-2.0-or-later	2013 Abdurrahman AVCI <abdurrahmanavci@gmail.com>	daemon build or retained corresponding input	unchanged
src/daemon/Greeter.h	6.7.5-1.fc44	d30c5de2889354e414b9e15ec9ad5996c8dfa90a1b572c2888a93b26e75a0f12	GPL-2.0-or-later	2013 Abdurrahman AVCI <abdurrahmanavci@gmail.com>	daemon build or retained corresponding input	unchanged
src/daemon/LogindDBusTypes.cpp	6.7.5-1.fc44	89742cd4c2275fb033650995db55fd6d7c34a2a0f40db9f237a0c2fd5c80d664	GPL-2.0-or-later	2020 David Edmundson <davidedmundson@kde.org>	daemon build or retained corresponding input	unchanged
src/daemon/LogindDBusTypes.h	6.7.5-1.fc44	8c78d5aaf058456340a26d2ba1d855d52780d59326fec2a8a566e909356d7cd3	GPL-2.0-or-later	2020 David Edmundson <davidedmundson@kde.org>	daemon build or retained corresponding input	unchanged
src/daemon/Seat.cpp	6.7.5-1.fc44	db4b10a3f1f815ecfe4253b3da57d274535e93e9b11e3991aed3b501acf981ec	GPL-2.0-or-later	2014 Pier Luigi Fiorini <pierluigi.fiorini@gmail.com>; 2013 Abdurrahman AVCI <abdurrahmanavci@gmail.com>	daemon build or retained corresponding input	unchanged
src/daemon/Seat.h	6.7.5-1.fc44	5364934e62c9e0e285f34805b0f498b61d39793dc9c878b4411c4d2d90502e90	GPL-2.0-or-later	2013 Abdurrahman AVCI <abdurrahmanavci@gmail.com>	daemon build or retained corresponding input	unchanged
src/daemon/SeatManager.cpp	6.7.5-1.fc44	3603a83cebc91777f608fedd9cf2781fe3d45444481a7a5db45e08611d6bceeb	GPL-2.0-or-later	2013 Abdurrahman AVCI <abdurrahmanavci@gmail.com>	daemon build or retained corresponding input	unchanged
src/daemon/SeatManager.h	6.7.5-1.fc44	e6cfe817a7ccc711aaa81a0c43bd32ca6732051012eb6ea3d436a3305e638ec0	GPL-2.0-or-later	2013 Abdurrahman AVCI <abdurrahmanavci@gmail.com>	daemon build or retained corresponding input	unchanged
src/daemon/SocketServer.cpp	6.7.5-1.fc44	5b5776066ad8b7dcc5e65c2913e9f56601f186dcde44e628674b665eb8e04289	GPL-2.0-or-later	2015 Pier Luigi Fiorini <pierluigi.fiorini@gmail.com>; 2013 Abdurrahman AVCI <abdurrahmanavci@gmail.com>	daemon build or retained corresponding input	unchanged
src/daemon/SocketServer.h	6.7.5-1.fc44	37539d441f40d65f54f91d76aa8662af0698f92015d0e99ac66341ef5f431733	GPL-2.0-or-later	2015 Pier Luigi Fiorini <pierluigi.fiorini@gmail.com>; 2013 Abdurrahman AVCI <abdurrahmanavci@gmail.com>	daemon build or retained corresponding input	unchanged
src/daemon/Utils.h	6.7.5-1.fc44	a117cdf97db1cc4a4d78caef859941b771c43f36e08086048f5285f5f0cbcf7a	GPL-2.0-or-later	2013 Abdurrahman AVCI <abdurrahmanavci@gmail.com>; 2014 David Edmundson <davidedmundson@kde.org>	daemon build or retained corresponding input	unchanged
src/daemon/config.h.in	6.7.5-1.fc44	3ec249cd6ba718df7d77dd34484beea6144259a9fb51669a20015c034320958b	NOASSERTION (retained upstream/package input)	See retained upstream file	daemon build or retained corresponding input	unchanged
