function_address,callsite,callers_or_enclosing_role,transport_builder,opcode_control,arguments,payload_construction,constants,response_size,consumer,observed_in_recovered_capture,arbitrary_read_dataflow,static_evidence
0x180024c90,0x180025973,ChicagoHUSetMode,A0_generic,0x40,r8=0x4;r9=0x0;rcx=dynamic;rdx=0x4,fixed constants and/or caller-bounded command data,"{""rsp+0x20"":""0x2aa"",""rsp+0x28"":""0x0"",""rsp+0x30"":""0x1"",""rsp+0x38"":""0x64"",""rsp+0x40"":""0x0"",""rsp+0x48"":""0xffffffff""}",operation-specific bounded output; no length-proportional arbitrary memory response,ACK or typed operation response,no,no host-controlled 32-bit MCU address proven,gfusb disassembly line 34424; builder A0_generic
0x180024c90,0x180025a7a,ChicagoHUSetMode,A0_generic,dynamic,r8=0x5;r9=dynamic;rcx=dynamic;rdx=dynamic,fixed constants and/or caller-bounded command data,"{""rsp+0x30"":""0x1"",""rsp+0x40"":""0x1f4"",""rsp+0x48"":""0x0"",""rsp+0x50"":""0x2"",""rsp+0x80"":""0xc8"",""rsp+0xb0"":""0x1""}",operation-specific bounded output; no length-proportional arbitrary memory response,ACK or typed operation response,no,no host-controlled 32-bit MCU address proven,gfusb disassembly line 34482; builder A0_generic
0x180024c90,0x180025c0f,ChicagoHUSetMode,A0_generic,0xac,r8=0xa;r9=0x6;rcx=dynamic;rdx=0x8,fixed constants and/or caller-bounded command data,"{""rsp+0x20"":""0x2c6"",""rsp+0x30"":""0x1"",""rsp+0x38"":""0x0"",""rsp+0x40"":""0x0"",""rsp+0x48"":""0xffffffff"",""rsp+0xc0"":""0x40""}",operation-specific bounded output; no length-proportional arbitrary memory response,ACK or typed operation response,no,no host-controlled 32-bit MCU address proven,gfusb disassembly line 34568; builder A0_generic
0x180027ed0,0x1800281bb,ChicagoHUsetDac,A0_generic,0x98,r8=0x9;r9=0x4;rcx=dynamic;rdx=0x8,fixed constants and/or caller-bounded command data,"{""rsp+0x20"":""0x1a1"",""rsp+0x28"":""0x8"",""rsp+0x30"":""0x1"",""rsp+0x38"":""0xc8"",""rsp+0x40"":""0xc8"",""rsp+0x48"":""0x3""}",operation-specific bounded output; no length-proportional arbitrary memory response,ACK or typed operation response,no,no host-controlled 32-bit MCU address proven,gfusb disassembly line 36743; builder A0_generic
0x18002a540,0x18002a7cc,ChicagoTSetMode,A0_generic,dynamic,r8=0x2;r9=dynamic;rcx=dynamic;rdx=dynamic,fixed constants and/or caller-bounded command data,"{""rsp+0x30"":""0x1"",""rsp+0x40"":""0x1f4"",""rsp+0x48"":""0x1"",""rsp+0x50"":""0x2"",""rsp+0x78"":""0xc8"",""rsp+0x90"":""0x1""}",operation-specific bounded output; no length-proportional arbitrary memory response,ACK or typed operation response,no,no host-controlled 32-bit MCU address proven,gfusb disassembly line 38996; builder A0_generic
0x18002a540,0x18002ae27,ChicagoTSetMode,A0_generic,dynamic,r8=0x3;r9=dynamic;rcx=0x1;rdx=0x8,fixed constants and/or caller-bounded command data,"{""rsp+0x20"":""0x2bb"",""rsp+0x30"":""0x1"",""rsp+0x38"":""0x64""}",operation-specific bounded output; no length-proportional arbitrary memory response,ACK or typed operation response,no,no host-controlled 32-bit MCU address proven,gfusb disassembly line 39337; builder A0_generic
0x18002a540,0x18002af3c,ChicagoTSetMode,A0_generic,0x70,r8=0x7;r9=0x0;rcx=dynamic;rdx=0x7,fixed constants and/or caller-bounded command data,"{""rsp+0x20"":""0x2c6"",""rsp+0x28"":""0x0"",""rsp+0x30"":""0x1"",""rsp+0x38"":""0xc8"",""rsp+0x40"":""0x0"",""rsp+0x48"":""0xffffffff"",""rsp+0x50"":""0x2"",""rsp+0x98"":""0x1""}",operation-specific bounded output; no length-proportional arbitrary memory response,ACK or typed operation response,yes,no host-controlled 32-bit MCU address proven,gfusb disassembly line 39396; builder A0_generic
0x18002a540,0x18002b00e,ChicagoTSetMode,A0_generic,0x60,r8=0x6;r9=0x0;rcx=dynamic;rdx=0x7,fixed constants and/or caller-bounded command data,"{""rsp+0x20"":""0x2d0"",""rsp+0x28"":""0x0"",""rsp+0x30"":""0x1"",""rsp+0x38"":""0x64"",""rsp+0x40"":""0x0"",""rsp+0x48"":""0xffffffff"",""rsp+0x50"":""0x2"",""rsp+0xa0"":""0x1""}",operation-specific bounded output; no length-proportional arbitrary memory response,ACK or typed operation response,no,no host-controlled 32-bit MCU address proven,gfusb disassembly line 39442; builder A0_generic
0x18002a540,0x18002b1aa,ChicagoTSetMode,A0_generic,0x40,r8=0x4;r9=0x0;rcx=dynamic;rdx=0x4,fixed constants and/or caller-bounded command data,"{""rsp+0x20"":""0x2e5"",""rsp+0x28"":""0x0"",""rsp+0x30"":""0x1"",""rsp+0x38"":""0x64"",""rsp+0x40"":""0x0"",""rsp+0x48"":""0xffffffff""}",operation-specific bounded output; no length-proportional arbitrary memory response,ACK or typed operation response,no,no host-controlled 32-bit MCU address proven,gfusb disassembly line 39531; builder A0_generic
0x18002a540,0x18002b2b1,ChicagoTSetMode,A0_generic,dynamic,r8=0x5;r9=dynamic;rcx=dynamic;rdx=dynamic,fixed constants and/or caller-bounded command data,"{""rsp+0x30"":""0x1"",""rsp+0x40"":""0x1f4"",""rsp+0x48"":""0x0"",""rsp+0x50"":""0x2"",""rsp+0x80"":""0xc8"",""rsp+0xb0"":""0x1""}",operation-specific bounded output; no length-proportional arbitrary memory response,ACK or typed operation response,no,no host-controlled 32-bit MCU address proven,gfusb disassembly line 39589; builder A0_generic
0x18002a540,0x18002b446,ChicagoTSetMode,A0_generic,0xac,r8=0xa;r9=0x6;rcx=dynamic;rdx=0x8,fixed constants and/or caller-bounded command data,"{""rsp+0x20"":""0x302"",""rsp+0x30"":""0x1"",""rsp+0x38"":""0x0"",""rsp+0x40"":""0x0"",""rsp+0x48"":""0xffffffff"",""rsp+0xc0"":""0x40""}",operation-specific bounded output; no length-proportional arbitrary memory response,ACK or typed operation response,no,no host-controlled 32-bit MCU address proven,gfusb disassembly line 39675; builder A0_generic
0x18002d790,0x18002da7b,ChicagoTsetDac,A0_generic,0x98,r8=0x9;r9=0x4;rcx=dynamic;rdx=0x8,fixed constants and/or caller-bounded command data,"{""rsp+0x20"":""0x1a9"",""rsp+0x28"":""0x8"",""rsp+0x30"":""0x1"",""rsp+0x38"":""0xc8"",""rsp+0x40"":""0xc8"",""rsp+0x48"":""0x3""}",operation-specific bounded output; no length-proportional arbitrary memory response,ACK or typed operation response,no,no host-controlled 32-bit MCU address proven,gfusb disassembly line 41865; builder A0_generic
0x180030df0,0x18003104a,milanGSetMode,A0_generic,dynamic,r8=0x2;r9=dynamic;rcx=dynamic;rdx=dynamic,fixed constants and/or caller-bounded command data,"{""rsp+0x30"":""0x1"",""rsp+0x40"":""0x1f4"",""rsp+0x48"":""0x1"",""rsp+0x50"":""0x2"",""rsp+0x70"":""0xc8"",""rsp+0x88"":""0x1""}",operation-specific bounded output; no length-proportional arbitrary memory response,ACK or typed operation response,no,no host-controlled 32-bit MCU address proven,gfusb disassembly line 44965; builder A0_generic
0x180030df0,0x1800315ee,milanGSetMode,A0_generic,dynamic,r8=0x3;r9=dynamic;rcx=dynamic;rdx=0x8,fixed constants and/or caller-bounded command data,"{""rsp+0x20"":""0x1de"",""rsp+0x30"":""0x1"",""rsp+0x38"":""0x64""}",operation-specific bounded output; no length-proportional arbitrary memory response,ACK or typed operation response,no,no host-controlled 32-bit MCU address proven,gfusb disassembly line 45270; builder A0_generic
0x180030df0,0x180031703,milanGSetMode,A0_generic,0x70,r8=0x7;r9=0x0;rcx=dynamic;rdx=0x7,fixed constants and/or caller-bounded command data,"{""rsp+0x20"":""0x1e8"",""rsp+0x28"":""0x0"",""rsp+0x30"":""0x1"",""rsp+0x38"":""0xc8"",""rsp+0x40"":""0x0"",""rsp+0x48"":""0xffffffff"",""rsp+0x50"":""0x2"",""rsp+0x90"":""0x1""}",operation-specific bounded output; no length-proportional arbitrary memory response,ACK or typed operation response,yes,no host-controlled 32-bit MCU address proven,gfusb disassembly line 45329; builder A0_generic
0x180030df0,0x1800317d5,milanGSetMode,A0_generic,0x60,r8=0x6;r9=0x0;rcx=dynamic;rdx=0x7,fixed constants and/or caller-bounded command data,"{""rsp+0x20"":""0x1f1"",""rsp+0x28"":""0x0"",""rsp+0x30"":""0x1"",""rsp+0x38"":""0x64"",""rsp+0x40"":""0x0"",""rsp+0x48"":""0xffffffff"",""rsp+0x50"":""0x2"",""rsp+0x98"":""0x1""}",operation-specific bounded output; no length-proportional arbitrary memory response,ACK or typed operation response,no,no host-controlled 32-bit MCU address proven,gfusb disassembly line 45375; builder A0_generic
0x180030df0,0x180031969,milanGSetMode,A0_generic,0x40,r8=0x4;r9=0x0;rcx=dynamic;rdx=0x4,fixed constants and/or caller-bounded command data,"{""rsp+0x20"":""0x205"",""rsp+0x28"":""0x0"",""rsp+0x30"":""0x1"",""rsp+0x38"":""0x64"",""rsp+0x40"":""0x0"",""rsp+0x48"":""0xffffffff""}",operation-specific bounded output; no length-proportional arbitrary memory response,ACK or typed operation response,no,no host-controlled 32-bit MCU address proven,gfusb disassembly line 45463; builder A0_generic
0x180030df0,0x180031a67,milanGSetMode,A0_generic,dynamic,r8=0x5;r9=dynamic;rcx=dynamic;rdx=dynamic,fixed constants and/or caller-bounded command data,"{""rsp+0x30"":""0x1"",""rsp+0x40"":""0x1f4"",""rsp+0x48"":""0x0"",""rsp+0x50"":""0x2"",""rsp+0x78"":""0xc8"",""rsp+0xa8"":""0x1""}",operation-specific bounded output; no length-proportional arbitrary memory response,ACK or typed operation response,no,no host-controlled 32-bit MCU address proven,gfusb disassembly line 45521; builder A0_generic
0x180030df0,0x180031b76,milanGSetMode,A0_generic,0xac,r8=0xa;r9=0x6;rcx=dynamic;rdx=dynamic,fixed constants and/or caller-bounded command data,"{""rsp+0x30"":""0x1"",""rsp+0x38"":""0x0"",""rsp+0x40"":""0x0"",""rsp+0x48"":""0xffffffff"",""rsp+0x50"":""0x22"",""rsp+0xb0"":""0x1""}",operation-specific bounded output; no length-proportional arbitrary memory response,ACK or typed operation response,no,no host-controlled 32-bit MCU address proven,gfusb disassembly line 45579; builder A0_generic
0x1800345e0,0x18003483a,milanLSetMode,A0_generic,dynamic,r8=0x2;r9=dynamic;rcx=dynamic;rdx=dynamic,fixed constants and/or caller-bounded command data,"{""rsp+0x30"":""0x1"",""rsp+0x40"":""0x1f4"",""rsp+0x48"":""0x1"",""rsp+0x50"":""0x2"",""rsp+0x70"":""0xc8"",""rsp+0x88"":""0x1""}",operation-specific bounded output; no length-proportional arbitrary memory response,ACK or typed operation response,no,no host-controlled 32-bit MCU address proven,gfusb disassembly line 48072; builder A0_generic
0x1800345e0,0x180034dde,milanLSetMode,A0_generic,dynamic,r8=0x3;r9=dynamic;rcx=dynamic;rdx=0x8,fixed constants and/or caller-bounded command data,"{""rsp+0x20"":""0x19e"",""rsp+0x30"":""0x1"",""rsp+0x38"":""0x64""}",operation-specific bounded output; no length-proportional arbitrary memory response,ACK or typed operation response,no,no host-controlled 32-bit MCU address proven,gfusb disassembly line 48377; builder A0_generic
0x1800345e0,0x180034ef3,milanLSetMode,A0_generic,0x70,r8=0x7;r9=0x0;rcx=dynamic;rdx=0x7,fixed constants and/or caller-bounded command data,"{""rsp+0x20"":""0x1a9"",""rsp+0x28"":""0x0"",""rsp+0x30"":""0x1"",""rsp+0x38"":""0xc8"",""rsp+0x40"":""0x0"",""rsp+0x48"":""0xffffffff"",""rsp+0x50"":""0x2"",""rsp+0x90"":""0x1""}",operation-specific bounded output; no length-proportional arbitrary memory response,ACK or typed operation response,yes,no host-controlled 32-bit MCU address proven,gfusb disassembly line 48436; builder A0_generic
0x1800345e0,0x180034fc5,milanLSetMode,A0_generic,0x60,r8=0x6;r9=0x0;rcx=dynamic;rdx=0x7,fixed constants and/or caller-bounded command data,"{""rsp+0x20"":""0x1b2"",""rsp+0x28"":""0x0"",""rsp+0x30"":""0x1"",""rsp+0x38"":""0x64"",""rsp+0x40"":""0x0"",""rsp+0x48"":""0xffffffff"",""rsp+0x50"":""0x2"",""rsp+0x98"":""0x1""}",operation-specific bounded output; no length-proportional arbitrary memory response,ACK or typed operation response,no,no host-controlled 32-bit MCU address proven,gfusb disassembly line 48482; builder A0_generic
0x1800345e0,0x180035159,milanLSetMode,A0_generic,0x40,r8=0x4;r9=0x0;rcx=dynamic;rdx=0x4,fixed constants and/or caller-bounded command data,"{""rsp+0x20"":""0x1c6"",""rsp+0x28"":""0x0"",""rsp+0x30"":""0x1"",""rsp+0x38"":""0x64"",""rsp+0x40"":""0x0"",""rsp+0x48"":""0xffffffff""}",operation-specific bounded output; no length-proportional arbitrary memory response,ACK or typed operation response,no,no host-controlled 32-bit MCU address proven,gfusb disassembly line 48570; builder A0_generic
0x1800345e0,0x180035257,milanLSetMode,A0_generic,dynamic,r8=0x5;r9=dynamic;rcx=dynamic;rdx=dynamic,fixed constants and/or caller-bounded command data,"{""rsp+0x30"":""0x1"",""rsp+0x40"":""0x1f4"",""rsp+0x48"":""0x0"",""rsp+0x50"":""0x2"",""rsp+0x78"":""0xc8"",""rsp+0xa8"":""0x1""}",operation-specific bounded output; no length-proportional arbitrary memory response,ACK or typed operation response,no,no host-controlled 32-bit MCU address proven,gfusb disassembly line 48628; builder A0_generic
0x1800345e0,0x180035366,milanLSetMode,A0_generic,0xac,r8=0xa;r9=0x6;rcx=dynamic;rdx=dynamic,fixed constants and/or caller-bounded command data,"{""rsp+0x30"":""0x1"",""rsp+0x38"":""0x0"",""rsp+0x40"":""0x0"",""rsp+0x48"":""0xffffffff"",""rsp+0x50"":""0x22"",""rsp+0xb0"":""0x1""}",operation-specific bounded output; no length-proportional arbitrary memory response,ACK or typed operation response,no,no host-controlled 32-bit MCU address proven,gfusb disassembly line 48686; builder A0_generic
0x18003c7f4,0x18003c94c,production_read_mcu,A0_generic,0xe4,r8=0xe;r9=0x2;rcx=dynamic;rdx=0x8,caller blob under E4 production selector protocol,"{""rsp+0x20"":""0x95e"",""rsp+0x28"":""0x0"",""rsp+0x30"":""0x1"",""rsp+0x38"":""0x1f4"",""rsp+0x40"":""0x3e8"",""rsp+0x48"":""0x7"",""rsp+0x50"":""0xffefffff""}",operation-specific bounded output; no length-proportional arbitrary memory response,parsed status/length then bounded copy,yes,no: high-level callers constrain selectors; no address serializer,gfusb disassembly line 55178; builder A0_generic
0x18003c7f4,0x18003c9a1,production_read_mcu,A0_generic,0xe4,r8=0xe;r9=0x2;rcx=dynamic;rdx=0x8,caller blob under E4 production selector protocol,"{""rsp+0x30"":""0x1"",""rsp+0x38"":""0x1f4"",""rsp+0x40"":""0x3e8"",""rsp+0x48"":""0x7""}",operation-specific bounded output; no length-proportional arbitrary memory response,parsed status/length then bounded copy,yes,no: high-level callers constrain selectors; no address serializer,gfusb disassembly line 55197; builder A0_generic
0x18003d8e0,0x18003da2a,production_write_mcu,A0_generic,0xe0,r8=0xe;r9=0x0;rcx=dynamic;rdx=0x8,fixed constants and/or caller-bounded command data,"{""rsp+0x20"":""0xa5e"",""rsp+0x28"":""0x0"",""rsp+0x30"":""0x1"",""rsp+0x38"":""0x1f4"",""rsp+0x40"":""0x3e8"",""rsp+0x48"":""0x7"",""rsp+0x50"":""0xffefffff""}",operation-specific bounded output; no length-proportional arbitrary memory response,ACK or typed operation response,no,no host-controlled 32-bit MCU address proven,gfusb disassembly line 56093; builder A0_generic
0x18003d8e0,0x18003dabf,production_write_mcu,A0_generic,0xe0,r8=0xe;r9=0x0;rcx=dynamic;rdx=0x8,fixed constants and/or caller-bounded command data,"{""rsp+0x20"":""0xa63"",""rsp+0x28"":""0x0"",""rsp+0x30"":""0x1"",""rsp+0x38"":""0x1f4"",""rsp+0x40"":""0x3e8"",""rsp+0x48"":""0x7""}",operation-specific bounded output; no length-proportional arbitrary memory response,ACK or typed operation response,no,no host-controlled 32-bit MCU address proven,gfusb disassembly line 56123; builder A0_generic
0x180058d50,0x180058dd7,tls_callback_send,B0_TLS,dynamic,r8=dynamic;r9=dynamic;rcx=dynamic;rdx=0x7,preformed TLS record,"{""rsp+0x20"":""0xba"",""rsp+0x28"":""0x0"",""rsp+0x40"":""0x0""}",operation-specific bounded output; no length-proportional arbitrary memory response,transport completion,yes,not a device command builder,gfusb disassembly line 82573; builder B0_TLS
0x180059488,0x180059584,ChipRegRead,A0_generic,0x82,r8=0x8;r9=0x1;rcx=0x1;rdx=dynamic,fixed 5-byte body: selector byte + LE16 register + LE16 count,"{""rsp+0x28"":""0x5"",""rsp+0x30"":""0x1"",""rsp+0x38"":""0x12c"",""rsp+0x48"":""0x2""}",operation-specific bounded output; no length-proportional arbitrary memory response,typed response copied to caller,yes,no: 16-bit register namespace,gfusb disassembly line 83010; builder A0_generic
0x180059610,0x18005973b,ChipRegWrite,A0_generic,0x80,r8=0x8;r9=0x0;rcx=dynamic;rdx=dynamic,fixed constants and/or caller-bounded command data,"{""rsp+0x30"":""0x1"",""rsp+0x40"":""0x0"",""rsp+0x48"":""0xffffffff""}",operation-specific bounded output; no length-proportional arbitrary memory response,ACK or typed operation response,yes,no host-controlled 32-bit MCU address proven,gfusb disassembly line 83112; builder A0_generic
0x180059b38,0x180059c5e,GetEvkVersion,A0_generic,0xa8,r8=0xa;r9=0x4;rcx=dynamic;rdx=0x0,fixed constants and/or caller-bounded command data,"{""rsp+0x20"":""0x14a2"",""rsp+0x28"":""0x2"",""rsp+0x30"":""0x1"",""rsp+0x38"":""0x64"",""rsp+0x48"":""0x9""}",operation-specific bounded output; no length-proportional arbitrary memory response,ACK or typed operation response,yes,no host-controlled 32-bit MCU address proven,gfusb disassembly line 83411; builder A0_generic
0x180059f98,0x18005a0ef,GetMcuState,A0_generic,0xae,r8=0xa;r9=0x7;rcx=dynamic;rdx=0x0,fixed constants and/or caller-bounded command data,"{""rsp+0x20"":""0xde5"",""rsp+0x28"":""0x5"",""rsp+0x30"":""0x1"",""rsp+0x38"":""0x0"",""rsp+0x40"":""0x1f4"",""rsp+0x48"":""0x6""}",operation-specific bounded output; no length-proportional arbitrary memory response,ACK or typed operation response,no,no host-controlled 32-bit MCU address proven,gfusb disassembly line 83663; builder A0_generic
0x18005a33c,0x18005a419,HardResetMCUWithCmd,A0_generic,0xa2,r8=0xa;r9=0x1;rcx=dynamic;rdx=0x8,fixed constants and/or caller-bounded command data,"{""rsp+0x20"":""0x15bf"",""rsp+0x28"":""0x0"",""rsp+0x30"":""0x1"",""rsp+0x38"":""0x0"",""rsp+0x40"":""0x0"",""rsp+0x48"":""0xffffffff"",""rsp+0x51"":""0x2""}",operation-specific bounded output; no length-proportional arbitrary memory response,ACK or typed operation response,yes,no host-controlled 32-bit MCU address proven,gfusb disassembly line 83840; builder A0_generic
0x18005b0c8,0x18005b129,E-family helper,A0_generic,0xee,r8=0xe;r9=0x7;rcx=0x2;rdx=dynamic,fixed constants and/or caller-bounded command data,"{""rsp+0x28"":""0x2"",""rsp+0x30"":""0x1"",""rsp+0x38"":""0xc8"",""rsp+0x40"":""0x1f4"",""rsp+0x48"":""0x7"",""rsp+0x54"":""0x0""}",operation-specific bounded output; no length-proportional arbitrary memory response,ACK or typed operation response,no,no host-controlled 32-bit MCU address proven,gfusb disassembly line 84570; builder A0_generic
0x18005b4bc,0x18005b7ba,ProductionOperateKey,A0_generic,dynamic,r8=0xe;r9=dynamic;rcx=dynamic;rdx=0x8,operation enum and fixed key/state selector,"{""rsp+0x20"":""0xf86"",""rsp+0x28"":""0x0"",""rsp+0x30"":""0x1"",""rsp+0x40"":""0x3e8"",""rsp+0x48"":""0x7""}",operation-specific bounded output; no length-proportional arbitrary memory response,fixed PMK-hash/state/Pkey result,no,"no: enum, not address",gfusb disassembly line 84948; builder A0_generic
0x18005b4bc,0x18005b850,ProductionOperateKey,A0_generic,dynamic,r8=0xe;r9=dynamic;rcx=dynamic;rdx=0x8,operation enum and fixed key/state selector,"{""rsp+0x20"":""0xf8c"",""rsp+0x28"":""0x0"",""rsp+0x30"":""0x1"",""rsp+0x40"":""0x3e8"",""rsp+0x48"":""0x7""}",operation-specific bounded output; no length-proportional arbitrary memory response,fixed PMK-hash/state/Pkey result,no,"no: enum, not address",gfusb disassembly line 84979; builder A0_generic
0x18005c1d0,0x18005c305,SendNopCmd,A0_no_ack,dynamic,r8=0x0;r9=dynamic;rcx=dynamic;rdx=0x0,fixed constants and/or caller-bounded command data,"{""rsp+0x20"":""0x4"",""rsp+0x28"":""0x0"",""rsp+0x30"":""0x0""}",operation-specific bounded output; no length-proportional arbitrary memory response,ACK or typed operation response,no,no host-controlled 32-bit MCU address proven,gfusb disassembly line 85551; builder A0_no_ack
0x18005c724,0x18005c83e,SetDriverState,A0_generic,0x96,r8=0x9;r9=0x3;rcx=dynamic;rdx=0x8,fixed constants and/or caller-bounded command data,"{""rsp+0x20"":""0xd4"",""rsp+0x28"":""0x2"",""rsp+0x30"":""0x1"",""rsp+0x38"":""0x0"",""rsp+0x40"":""0x0"",""rsp+0x48"":""0xffffffff""}",operation-specific bounded output; no length-proportional arbitrary memory response,ACK or typed operation response,no,no host-controlled 32-bit MCU address proven,gfusb disassembly line 85845; builder A0_generic
0x18005c724,0x18005c8d0,SetDriverState,A0_generic,0x96,r8=0x9;r9=0x3;rcx=dynamic;rdx=0x8,fixed constants and/or caller-bounded command data,"{""rsp+0x20"":""0xda"",""rsp+0x28"":""0x2"",""rsp+0x30"":""0x1"",""rsp+0x38"":""0x0"",""rsp+0x40"":""0x0"",""rsp+0x48"":""0xffffffff""}",operation-specific bounded output; no length-proportional arbitrary memory response,ACK or typed operation response,no,no host-controlled 32-bit MCU address proven,gfusb disassembly line 85874; builder A0_generic
0x18005d598,0x18005d708,UsbSendDataToDeviceLock,A0_no_ack,dynamic,r8=dynamic;r9=dynamic;rcx=dynamic;rdx=0x5,fixed constants and/or caller-bounded command data,"{""rsp+0x20"":""0x264"",""rsp+0x28"":""0x0""}",operation-specific bounded output; no length-proportional arbitrary memory response,ACK or typed operation response,no,no host-controlled 32-bit MCU address proven,gfusb disassembly line 86694; builder A0_no_ack
