edge_id,source_va,target_va,edge_kind,project_condition,assignment_site,slot_or_table,branch_condition,success_or_failure,return_value,wire_effect,persistent_effect_risk,evidence_class,notes
E015,0x18003cfbb,0x18003b514,RETURN_PROPAGATION,project==8,N/A_DIRECT_CALL,N/A_DIRECT_CALL,production_read_mcu_nonzero,FAILURE,NONZERO,NONE,false,VERIFIED,Specific-data wrapper propagates reader failure
E016,0x18003ba48,0x18003c348,RETURN_PROPAGATION,project==8,N/A_DIRECT_CALL,N/A_DIRECT_CALL,read_or_hash_validation_nonzero,FAILURE,NONZERO,NONE,false,VERIFIED,PSK validation result reaches production process
E017,0x18003c53d,0x18003c43e,BOUNDED_LOOP,project==8,N/A_DIRECT_CALL,N/A_DIRECT_CALL,first_psk_check_nonzero_and_index_less_than_2,FAILURE,NONZERO,E4_OUT,false,VERIFIED,One outer recheck yields second exact E4 sequence
E018,0x18003c5eb,0x18003cfd8,DIRECT_CALL,project==8,N/A_DIRECT_CALL,N/A_DIRECT_CALL,two_psk_validation_checks_failed,FAILURE,NONZERO,NONE,true,VERIFIED,Call production_write_key not an E4 wrapper
E019,0x18003d6fd,0x18003d8e0,DIRECT_CALL,project==8,N/A_DIRECT_CALL,N/A_DIRECT_CALL,key_material_packaged,FAILURE,N/A,NONE,true,VERIFIED,Call production_write_mcu
E020,0x18003da2a,0x18005c148,DIRECT_CALL,project==8,N/A_DIRECT_CALL,N/A_DIRECT_CALL,first_write_send,FAILURE,N/A,E0_OUT,true,VERIFIED,r8_0x0e_r9_0x00 produces persistent write family E0
E021,0x18003dabf,0x18005c148,DIRECT_CALL,project==8,N/A_DIRECT_CALL,N/A_DIRECT_CALL,first_e0_generic_send_returns_zero,FAILURE,N/A,E0_OUT,true,VERIFIED,Exactly one immediate E0 retry
E022,0x18003d8c1,0x18003c5f0,RETURN_PROPAGATION,project==8,N/A_DIRECT_CALL,N/A_DIRECT_CALL,production_write_key_returns,NEUTRAL,PROPAGATED,NONE,true,VERIFIED,Up to two production_write_key calls
E023,0x18003c7ea,0x18006ae09,RETURN_PROPAGATION,project==8,N/A_DIRECT_CALL,N/A_DIRECT_CALL,both_write_key_attempts_failed,FAILURE,NONZERO,NONE,true,VERIFIED,Production process result stored by init_MCU
E024,0x18006ae89,0x18006b0e7,RETURN_PROPAGATION,project==8,N/A_DIRECT_CALL,N/A_DIRECT_CALL,production_process_nonzero,FAILURE,NONZERO,NONE,true,VERIFIED,init_MCU returns the error
E025,0x18001e11b,0x18001e252,RETURN_PROPAGATION,project==8,N/A_DIRECT_CALL,N/A_DIRECT_CALL,init_MCU_nonzero,FAILURE,NONZERO,NONE,true,VERIFIED,DeviceInit returns without init_FP
E026,0x180014ebe,0x180014f07,BOUNDED_LOOP,project==8,N/A_DIRECT_CALL,N/A_DIRECT_CALL,normal_error_and_retry_index_less_than_N_CFG,FAILURE,NONZERO,NONE,true,VERIFIED,Whole DeviceInit may repeat with unknown target N_CFG
E027,0x180065bb7,0x18005c148,DIRECT_CALL,project==8,N/A_DIRECT_CALL,N/A_DIRECT_CALL,inner_updater_clear_app_branch,NEUTRAL,N/A,A4_OUT,true,VERIFIED,Pre-E4 Clear App sender reachable by configuration and version branch
E028,0x180065e3d,0x18006bb3c,DIRECT_CALL,project==8,N/A_DIRECT_CALL,N/A_DIRECT_CALL,firmware_update_required,NEUTRAL,N/A,FIRMWARE_UPDATE,true,VERIFIED,Pre-E4 firmware update routine
E029,0x18003b870,0x18007ba10,DIRECT_CALL,project==8,N/A_DIRECT_CALL,N/A_DIRECT_CALL,typed_response_valid,NEUTRAL,N/A,NONE,false,VERIFIED,Compare returned specific data or hash
E030,0x18006ae92,0x18006aeb0,DIRECT_CONTINUATION,project==8,N/A_DIRECT_CALL,N/A_DIRECT_CALL,production_process_returns_zero,SUCCESS,0,NONE,false,VERIFIED,init_MCU success continuation
E031,0x18003c6fb,0x18003b514,DIRECT_CALL,project==8,N/A_DIRECT_CALL,N/A_DIRECT_CALL,production_write_key_returns_zero,NEUTRAL,N/A,E4_OUT,true,VERIFIED,Successful key write is followed by one post-write PSK validation per write iteration
